,ID,Name,Artist,Release_Date,duration_ms,score,num_sp_playlists,sp_popularity,sp_streams,weekly_sp_stream,monthly_sp_streams
7930,2RSTxkRVfmTt8ZrKyvf452,Rap Cho Anh Em,['Gill'],2024-01-02,284000,2,5,12,11329,3942,2833
7931,3UXkrRQrb9RMASaSPmMCBT,Chê Hộ,['Gill'],2024-01-02,260268,2,5,12,9747,2192,3747
7932,3aUl6QsacskgC1D1Ht6HJL,Funk Up,['Minh Tốc & Lam'],2023-12-13,90857,0,45,5,66135,789,2431
7933,4pUsp9CvtNayG0z8CR2Qeb,1811 Câu Hỏi Vì Sao,['Minh Tốc & Lam'],2023-12-13,232399,1,203,26,306630,4307,16717
7934,4s85RqVJXF6uF7ArcuzRMv,Những Giai Điệu Khác 3,['Minh Tốc & Lam'],2023-12-13,245199,1,243,29,332689,6872,24518
7935,6vf7njmLia1s77Q5Plesa2,Một Giấc Mơ Hoang Đường,['Minh Tốc & Lam'],2023-12-13,212920,1,221,34,440499,10067,40257
7936,0KYEXkIugKiZD4l2ApBFZC,Người Câu Sao,['Minh Tốc & Lam'],2023-12-13,344450,0,86,17,74593,948,3352
7937,12ppHFh7WQbFPGuK34qxgK,Chốn Sa Mạc,['Minh Tốc & Lam'],2023-12-13,292235,4,845,38,1627754,45658,157518
7938,5KM9DT1qVJlAAk75mD1lCW,Những Ngày Rong Chơi,['Minh Tốc & Lam'],2023-12-13,257332,1,240,30,291422,8294,28559
7939,3sAqjEHgk0Sih9drD9MkZ6,145,['Minh Tốc & Lam'],2023-12-13,190386,0,111,24,137053,3294,11600
7940,3LNVMgQ94gMX0gYC658BX9,Outrio,['Minh Tốc & Lam'],2023-12-13,263837,0,38,13,37197,426,1526
7950,4cySc6XkUhVdACUefOsgn8,Những Ngày Nắng Đẹp,['Minh Tốc & Lam'],2021-04-01,259403,1,450,30,601776,8723,29509
7951,7AwVUQDJjS9BNhNG3IgB4j,Ngọc Bích,['Minh Tốc & Lam'],2021-04-01,274421,0,136,19,166794,1067,4565
7952,1xk2J8Gu70NKMPGPB4BPph,Chẳng Một Mình Nhưng Vẫn Cô Đơn,['Minh Tốc & Lam'],2021-04-01,258036,0,240,24,322434,3219,10704
7953,08PAl1vQifGquhsFMsYi8Y,Doctor Funk,['Minh Tốc & Lam'],2021-04-01,262300,0,86,16,82209,751,2745
7954,6a5hBeGmbZp8Wac4HcbWjS,Những Giai Điệu Khác 2,['Minh Tốc & Lam'],2021-04-01,330400,2,993,38,1631381,23770,84701
7955,0Fb9hKFzmUq8ooQnSFtsvp,Salsa,['Minh Tốc & Lam'],2021-04-01,215712,0,113,19,130050,1001,4127
7956,6wBDuq35rcHSeLOByf4iJY,Fmaj9/E,['Minh Tốc & Lam'],2021-04-01,275787,0,209,21,221361,1937,7169
7957,5TGI4dhtL1Jd5FPxfe7WaK,Ngọc Lam,['Minh Tốc & Lam'],2021-04-01,169412,1,836,32,1550728,9425,33870
7958,2ciL8l5CfuMMUCCx4SNbKw,Tôi Đã Quên Thật Rồi,['Isaac'],2021-12-09,317142,0,15,6,13752,284,610
7959,2rf4FwSpBGICLJF3ZUZW8N,Đau Đầu,['Isaac'],2021-12-09,249333,0,8,0,7449,559,4725
7960,0sYPL6Ug4wId0tLytLuOHY,Yêu Dại Khờ,['Isaac'],2021-12-09,308571,0,14,3,13385,89,1775
7961,7b3Nc9MWYdH8p7eyyub4Zi,Yêu Làm Chi,['Isaac'],2021-12-09,228923,0,14,0,23100,740,13518
7962,4fNlM7wf618jAMpFgeu1YS,Anh Yêu Em Nhiều Lắm,['Isaac'],2021-12-09,273230,2,135,19,227995,1604,5229
7963,6mULBj8jTE9wQuLW4K9WjM,Yêu Làm Chi - Rain Version,['Isaac'],2021-12-09,228923,0,5,1,23100,135,796
7964,3GRovoj25l5jKdTcbUdBdo,Anh Yêu Em Nhiều Lắm - Rain Version,['Isaac'],2021-12-09,273230,0,10,2,8843,220,775
7965,6QiE9xVHfGT1s3ilFo2lVu,Sober Song,['Thắng'],2023-04-30,129440,3,394,26,989908,3459,13110
7966,1yo967mk7CpjvruNxBecOY,Trước Khi Em Tồn Tại,['Thắng'],2023-04-30,194182,19,3307,51,14612064,113876,467824
7967,27okvpcgpfODYvseTAdnYs,Limo,['Thắng'],2023-04-30,154838,3,629,33,1651096,9002,34502
7968,2D4OKwmgiWXrPcJ2UaJSNh,Tinkerbell,['Thắng'],2023-04-30,201868,2,322,26,706774,3640,12594
7969,7jFHUsErqyXjIvyxzBKhf2,Mất Thời Gian,['Thắng'],2023-04-30,200393,3,518,32,1225032,8789,33184
7970,5ok0C5Q8O1p477MIZlQM0O,Save it for your boyfriends,['Thắng'],2023-04-30,147824,1,370,27,835441,3946,14871
7971,03ZqOfQjiFJ0CaoATCMxlU,Phải Lòng,['Thắng'],2023-04-30,261987,2,603,35,1528012,16017,54123
7972,1K3CXUYKhLYN7koLW5WQjX,Xin Lỗi,['Thắng'],2023-04-30,127114,16,3074,45,17036704,49077,196742
7973,0LPRt7FkrAJHt5x4m9eBHp,Intro,['Winno'],2024-02-14,49091,0,11,0,34851,566,2209
7974,0XTTzGnLOqHhfFrCNZjwQ6,Love Story,['Winno'],2024-02-14,156029,0,60,18,99603,1133,4433
7975,3jRddDy2dBBMNiz2Dud9Ib,Đêm trăng tàn,['Winno'],2024-02-14,209746,0,55,0,68406,1010,4174
7976,6ZufOkHiS9gfL1WroCvOe8,Nhiu luc a bun - Remix Version,['Winno'],2024-02-14,258216,0,93,21,124985,1967,7714
7977,4tBK1GGNHzeNFm2shTt0D0,Cành cây,['Winno'],2024-02-14,225103,0,45,16,49363,670,2831
7978,3NMnj4dC8gGfMjiG0Zj7xe,Bởi vì đã yêu em,['Winno'],2024-02-14,312390,1,87,27,164202,3721,15897
7979,5z3NDAojLFKfbECvyGFLZ8,Mưa nhiệt đới,['Winno'],2024-02-14,263589,0,67,19,80707,1040,4534
7980,546DI0LOB02YhQFbLPiyXC,Wedding cake,['Winno'],2024-02-14,233126,0,45,16,55341,783,3092
7981,7CoOFEoC3xg3iJ2srBsizf,Muốn anh đau,['Winno'],2024-02-14,340724,16,1773,47,5337505,83029,309476
7982,0UcXUYfyTp2dJTgBotZfp0,Muốn em vui,['Winno'],2024-02-14,170916,0,70,19,100129,1612,6042
7983,7tmdpk6Dn7Y6YsI6CghESj,Tặng em một nhành hồng,['Winno'],2024-02-14,204841,0,35,16,50655,681,2881
7984,7JjpQb1bhIJOu2nfLLjm2R,Áng mây hồng,['Winno'],2024-02-14,212263,0,53,18,67551,1183,4598
7985,2dY0j0RLwhK9xlMGOwDxHx,Fall In Love,['Winno'],2024-02-14,214500,1,189,31,393976,7451,31065
7986,7lP6rPitYvRg7DoBPwHH3I,Lúm đồng tiền,['Winno'],2024-02-14,162057,1,164,30,319788,8136,33557
7987,3o8fywZXKVBCfjtIPa1dHW,Baby thích màu hồng,['Winno'],2024-02-14,220667,0,43,17,56785,949,3752
7988,3PJbFJImi0QMxDCUKFBfbU,Hồng không gai,['Winno'],2024-02-14,224918,6,625,53,2503501,213427,881633
7989,1OEEemQHm2T0ELcX4mIbsn,Iu đét,['Winno'],2024-02-14,215336,0,52,19,74321,1307,6027
7990,6k9o3GmJhkQICqeivTc7fG,Lưu luyến,['Winno'],2024-02-14,191473,0,52,17,56595,944,3557
7991,64brKipHh1YxlSRYjOeZ1J,nói em không tin,['Bon Nghiêm'],2023-03-03,256693,1,372,35,1216029,23398,79381
7992,1GJ1KmDeMdXCXeirR1ADX7,nửa đêm về nhà,['Bon Nghiêm'],2023-03-03,277359,0,64,19,155625,1747,6382
7993,4gaxEUZE4z9pJAVTSFwgQI,một đời,['Bon Nghiêm'],2023-03-03,328240,25,2138,54,17371402,463749,1790913
7994,1FivKoPKGUeNNf7t1wUEi3,không nói ai mà biết,['Bon Nghiêm'],2023-03-03,211253,0,29,0,58583,492,1728
7995,0puFfn6mFjknUIrIqTZQhD,bình minh rơi đằng tây,['Bon Nghiêm'],2023-03-03,221693,0,65,24,170862,4481,15224
7996,7vEKxI16bwFP0UEKhf4snN,viết cho ngày mưa đông,['Bon Nghiêm'],2023-03-03,217938,0,33,15,71708,1581,4022
7997,48TmNFjDLaoL9XecuMH4J1,lò vi sóng - ăn cùng nhau,['Bon Nghiêm'],2023-03-03,233306,0,37,11,66877,378,1468
7998,0bVltLpg8ZO0LY0VFxOYIr,lò vi sóng - ăn một mình,['Bon Nghiêm'],2023-03-03,257226,0,33,16,70957,1324,4022
7999,7kgzRBNkBRArtTPkYjWLYT,bao tiền một mớ bình yên?,['Bon Nghiêm'],2023-03-03,300071,28,6592,54,40171043,312341,1246438
8000,2V3SFhLVqCPJZOU3NdB4OA,Khai Hội - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,141500,0,4,17,23889,515,2522
8001,6JrKYp3rl4drZV2fYB2uig,Trưởng Nữ Chạy Trốn - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,190000,0,5,19,36376,880,4141
8002,3Ru28YBto0nqdxlTgHNRMq,Duyên Âm - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,234073,0,2,19,29533,720,3278
8003,7LCZSCI8LJCDA3Lh2JYAp1,Bắt Vía  - Vietnamese Concert Edition,"['Hoàng Thùy Linh', 'Wren Evans', 'Mew Amazing']",2024-11-01,216656,0,13,20,51376,1108,4923
8004,4Dcm9Yx78TN01oDv6NpFuC,Lúc Thấy Lúc Không - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,174316,0,7,19,29412,701,3383
8005,4vuuwwYGPNBoFcosIx7h3j,Lắm Mối Tối Ngồi Không - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,195447,0,7,20,33767,1078,5486
8006,0cElF4xAHPL0mJubK44R2R,Kẻ Cắp Gặp Bà Già - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,293097,0,3,19,25997,659,3047
8007,5tX8ksuFD9w1MuSPjtkbse,Dẫn Lối - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,196000,0,2,18,20400,555,2310
8008,385unu3f1e2BRv55lffhAb,không một bài hát nào có thể diễn tả cảm xúc của em lúc này.  - Vietnamese Concert Edition,"['Hoàng Thùy Linh', 'Thanh Bui']",2024-11-01,274564,1,6,19,32625,1016,4373
8009,3F8itdqXAJN944nqzFTXqY,Em Đây Chẳng Phải Thúy Kiều - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,304816,0,5,21,34000,1478,6582
8010,4mBxxzpSAy68E0RbOse5ZV,Kẽo Cà Kẽo Kẹt - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,414612,11,8,19,38045,900,4595
8011,5y1w0C3XrlCIDhGaWITYv8,Rơi - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,350359,0,1,14,15001,311,1501
8012,2pKJ00VWLVEjxEtRVjL5n1,Bánh Trôi Nước - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,264719,0,3,16,21082,877,3256
8013,7tnR7S36uvD89qfjMDQwDv,Tứ Phủ x Đánh Đố  - Vietnamese Concert Edition,"['Hoàng Thùy Linh', 'Thanh Lam', 'Tùng Dương']",2024-11-01,358597,0,3,17,20881,543,2460
8014,7LZIVejY2hZCfCzSpN3ZnS,Hạ Phỏm - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,184187,0,1,13,16551,345,1639
8015,58WER3E8kG5k4ubLNmQpWu,Gieo Quẻ - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,220300,0,5,18,28503,781,3201
8016,2jlEf3T9s9gUEQ8Fkks00G,Để Mị Nói Cho Mà Nghe - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,223007,0,2,15,23015,533,2397
8017,1y1z9lFOGoPsDC7yG9lleQ,Bo Xì Bo - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,315174,0,2,16,20922,556,2589
8018,3WGDONunaQF3ai5xxRUpYN,See Tình - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,196500,0,3,17,20003,664,3116
8019,28FSfyu0BvUnEVrshYZRb6,Đoàn Viên Ting Ting Tang Tang - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,200750,1,2,14,13467,323,1521
8020,0TWMIhLSXgJjJ6QPFUFimm,Miền Đất Hứa - Vietnamese Concert Edition,['Hoàng Thùy Linh'],2024-11-01,225558,0,4,16,31009,596,2834
8042,6SjnTRDyTM162pPOAM0O8M,Gieo Quẻ,"['Hoàng Thùy Linh', 'Đen']",2022-08-11,198947,44,2722,41,11347300,32184,162440
8043,307iMiCYAKX6sUG7P4UKWt,See Tình,['Hoàng Thùy Linh'],2022-08-11,185002,84,9671,47,35570732,102492,416812
8044,0glPN37HvVqCUh1qCWBKo7,Lúc Thấy Lúc Không,['Hoàng Thùy Linh'],2022-08-11,173000,2,452,28,1926086,3831,16968
8045,54EzTMmlLYab5d9psfwmxZ,Bắt Vía,"['Hoàng Thùy Linh', 'Wren Evans', 'Mew Amazing']",2022-08-11,204000,2,530,28,2240188,3672,18120
8046,2AA4UcXp2WRvsU9cyHT6Vy,không một bài hát nào có thể diễn tả cảm xúc của em lúc này.,"['Hoàng Thùy Linh', 'Thanh Bui']",2022-08-11,240500,5,1625,35,7184501,12625,54137
8047,4X2iEvLVDm1Acd8Xmxw1ZC,Bo Xì Bo,['Hoàng Thùy Linh'],2022-08-11,172000,22,2030,41,11598019,23429,109714
8048,2Zos792uWaDCqqnmPaBH1x,Trưởng Nữ Chạy Trốn,['Hoàng Thùy Linh'],2022-08-11,195008,1,318,29,1756128,4676,19908
8049,7rIPVGTU46ILYVrrblSu4P,Đánh Đố,"['Hoàng Thùy Linh', 'Thanh Lam', 'Tùng Dương']",2022-08-11,268235,3,226,21,1207499,1540,7013
8050,2lGGlexu72TnPQPUHd8NWt,Hạ Phỏm,['Hoàng Thùy Linh'],2022-08-11,195750,4,536,27,2085113,3634,16503
8081,5tGyy0xulegIEiuJij70WY,Khởi Đầu,['Hoàng Thùy Linh'],2019-10-20,34858,0,83,22,1516938,1107,6101
8082,5mBWIm9EGnhZRYBYgAS72m,Để Mị Nói Cho Mà Nghe,['Hoàng Thùy Linh'],2019-10-20,193877,45,2290,43,12239539,25399,137316
8083,5dZHey2U2xrNpvgyop8URS,Duyên Âm,['Hoàng Thùy Linh'],2019-10-20,179541,16,2014,41,11953396,21982,107567
8084,031jyNUkkD02vrkgZDGJxu,Em Đây Chẳng Phải Thúy Kiều,['Hoàng Thùy Linh'],2019-10-20,214499,5,2734,45,15888000,48267,207469
8085,01WDJ9gcaXFuNzY5ir9CaE,Lắm Mối Tối Ngồi Không,['Hoàng Thùy Linh'],2019-10-20,194645,2,769,44,5106065,42262,234814
8086,38sxHKwaMeDAn4ppmilyas,Kẽo Cà Kẽo Kẹt,['Hoàng Thùy Linh'],2019-10-20,195455,1,444,30,2608705,4465,23247
8087,5KWeHCDuYBslakPuaoQ9yB,Tứ Phủ,['Hoàng Thùy Linh'],2019-10-20,264566,1,442,28,3042599,3866,19734
8088,3HJ0EW4kd9S1NRCm039Fsk,Kẻ Cắp Gặp Bà Già,"['Hoàng Thùy Linh', 'Binz']",2019-10-20,231504,20,3768,47,21613240,64547,306210
8089,4wKcqsZZz2tN4JV7WQfQ70,Giải Kết,['Hoàng Thùy Linh'],2019-10-20,75434,0,221,26,2202141,2056,11714
8129,67M1OpiH1WA37L5zJp7BLK,Chuyện Tình Lá Gió,['Hoàng Thùy Linh'],2017-03-21,306363,0,42,0,282101,266,2166
8130,74H13aZ2Tc101pybnzynX9,Cho Nhau Lối Đi Riêng,['Hoàng Thùy Linh'],2017-03-21,222773,0,159,22,689683,2400,8343
8131,0hGMGwquJKG2FhcpTK76Qg,Yêu Anh,['Hoàng Thùy Linh'],2017-03-21,241746,0,7,2,93085,151,665
8132,4M8bR5Dbc3hkPYgeUMwAUK,Em Sẽ Là Giấc Mơ,['Hoàng Thùy Linh'],2017-03-21,233386,0,12,11,168003,384,1964
8133,5CZcA80CVZtAWUl6m6E1dE,Lại Lần Nữa,['Hoàng Thùy Linh'],2017-03-21,285866,0,1,1,31049,140,398
8134,2LxoRVBNuFjScuRW72gagq,Anh Có Nhớ Gì,['Hoàng Thùy Linh'],2017-03-21,300160,0,8,1,85637,110,881
8135,6tRf9piEwFrDyF7CumzuWz,Cô Đơn Là Nỗi Đau,['Hoàng Thùy Linh'],2017-03-21,260480,0,8,9,89134,402,1876
8136,7KAgwd71auTGijxx6ZNx2J,Đôi Khi Em Muốn Khóc,['Hoàng Thùy Linh'],2017-03-21,259127,0,17,9,117733,377,4079
8137,5oecEOekO2UOXFNMMr57Lm,Cảm Ơn Vì Yêu Em,['Hoàng Thùy Linh'],2017-03-21,290026,0,9,6,112328,224,1253
8186,6nmxniYoHfvSAW7H8pfLyC,Ngày Không Anh,['Hoàng Thùy Linh'],2011-05-17,214466,0,11,0,30077,571,4008
8187,0XXSxttAaEhAi4GIYV8eDV,Chạy Trốn,['Hoàng Thùy Linh'],2011-05-17,173360,0,7,3,43133,214,615
8188,1YLOpWkTvRdMOb9ev9XY17,Lại Lần Nữa,['Hoàng Thùy Linh'],2011-05-17,285866,0,1,1,31049,140,398
8189,4bM6lWwufyXiG4foR8fcgW,Đừng Vội Vàng,['Hoàng Thùy Linh'],2011-05-17,257946,0,16,0,375964,321,33141
8190,3iPXtisd6SoaaxdFxDXjAH,Em Sẽ Là Giấc Mơ,['Hoàng Thùy Linh'],2011-05-17,233386,0,12,11,168003,384,1964
8191,2nO0bcETVHnYzo8a31V830,Sợi Dây,['Hoàng Thùy Linh'],2011-05-17,233933,0,6,5,50402,163,1807
8192,72s0B7fmRnIWuyUfXB2o3G,Trôi Theo Thời Gian,['Hoàng Thùy Linh'],2011-05-17,225280,0,0,1,22286,2398,860
8193,7zwjyBHK4kKDE8nzJXuFIx,Kỉ Niệm,['Hoàng Thùy Linh'],2011-05-17,220813,0,0,0,11960,2587,4188
8194,7w46sniU31Vt8ehM1wbwIT,Cô Đơn Là Nỗi Đau,['Hoàng Thùy Linh'],2011-05-17,260480,0,8,9,89134,402,1876
8195,7JviwmsMU0MEKInjOmx0fG,Giấu,['Hoàng Thùy Linh'],2011-05-17,241493,0,4,5,48972,227,1942
8254,0jvkJvDLg7b7hq4Sj0QaCC,Nhịp Đập Giấc Mơ,['Hoàng Thùy Linh'],2010-03-30,244760,0,24,5,34185,205,3616
8255,3CYBIABWw6gDAm53CvXDvg,Cảm Ơn Vì Yêu Em,['Hoàng Thùy Linh'],2010-03-30,290026,0,9,6,112328,224,1253
8256,6l9NvljELDclQhjjOmfh6w,Rung Động,['Hoàng Thùy Linh'],2010-03-30,211013,0,42,12,266759,656,2346
8257,1wg4sBgDwcBxskxzZmTvs5,Nghe Này Chàng Trai,['Hoàng Thùy Linh'],2010-03-30,206840,0,13,2,43592,293,8284
8258,3kW3ei03btio8SM0h6WvEP,Anh Có Nhớ Gì,['Hoàng Thùy Linh'],2010-03-30,300160,0,8,1,85637,110,881
8259,20ZmsRTQsdwqOVszQ0QDM8,Tìm Lại Tình Yêu,['Hoàng Thùy Linh'],2010-03-30,226760,0,5,11,61131,439,1583
8260,1MuZ2jg1w0aAtM0tEOfzNi,Khóc Lần Cuối,['Hoàng Thùy Linh'],2010-03-30,192720,0,7,0,68700,2347,3364
8261,1UnFfoCQSV26D8JxNDu5N5,Cho Nhau Lối Đi Riêng,['Hoàng Thùy Linh'],2010-03-30,222773,0,159,22,689683,2400,8343
8262,6Jm5kBlN7klZen7HgSKwPC,Dưới Ánh Nến,['Hoàng Thùy Linh'],2010-03-30,180800,0,13,0,90359,1730,19061
8263,0FZFDVbL8Lt5vSUBymy30J,Phía Sau Ánh Sáng,['Hoàng Thùy Linh'],2010-03-30,179186,0,7,2,45109,286,535
8264,6vSf15gKJE7YRDMorBRQIF,Ngày Hạnh Phúc,['Hoàng Thùy Linh'],2010-03-30,218053,0,9,10,75235,455,1748
8265,2ru0As0yZkV68DUIkAGcAA,Chocolate Cosmos Garden,['VCC Left Hand'],2023-11-25,180640,0,56,0,42048,557,3213
8266,3ywIk8bpQ7PaeM9zHaB0JC,Góc Sân Trường,['VCC Left Hand'],2023-11-25,237758,0,60,15,46364,811,3523
8267,0r3qCFw7wi5T4OKAz1TeOt,congtrinhkientruc mp3,['VCC Left Hand'],2023-11-25,182463,0,45,12,31511,418,2558
8268,0eMLu7Vg2X02v6O7fSMwsR,emyeutieurua yahoo,['VCC Left Hand'],2023-11-25,148788,0,87,20,82653,1359,14174
8269,6VGhOgi0Vn2mArSjRBIkHI,Giấc Mơ Thần Tiên,['VCC Left Hand'],2023-11-25,135367,0,66,17,53790,707,5256
8270,5H8v1wY7ijsPGS6YGmVPEU,Lông Mũi,['VCC Left Hand'],2023-11-25,147707,0,94,0,66558,889,5080
8271,5tNKRsGRJ8dZk34hgcHEGN,THÀNH PHỐ ĐÓNG BĂNG,['VCC Left Hand'],2023-11-25,192868,0,76,17,68150,1188,5412
8272,5hnv81CkJ3RqLx2qoWegiu,TINH CẦU PHA LÊ,['VCC Left Hand'],2023-11-25,155724,0,117,19,111568,1303,7755
8273,0yprDzjWl85vkb3ASmNOvK,NOKIA,['VCC Left Hand'],2023-11-25,272659,2,290,41,491708,58296,221431
8274,4CTFk0iGcEkZAuqPvyqYmg,Yeon 연,['VCC Left Hand'],2023-11-25,162137,0,93,20,101315,1628,11709
8275,6u13TjqDFb92N9CB4pbRV1,HTV3,['VCC Left Hand'],2023-11-25,134257,0,55,15,45063,524,3450
8276,0l1orSlxomH2Ijb8UTeHAp,Never Be Alone,['VCC Left Hand'],2023-11-25,148826,0,58,15,40035,502,2955
8277,3UCDIDbwlglyzkWtIxVJ0Z,Calm Down,['Karik'],2024-07-11,198816,1,44,20,141509,1390,4873
8278,0zdv0tJFVa6DeNOZdTQuZ7,Xấu Xí,['Karik'],2024-07-11,166883,1,33,19,119049,1055,4158
8279,0EZRO9aheeMjRXUZaOshre,Ai Cho Anh Lương Thiện,['Karik'],2024-07-11,171830,2,60,24,257016,2800,11268
8280,2Sc30OgOWWsPMtkaMDNZX3,Nhật Ký Vào Đời,['Karik'],2024-07-11,242433,4,463,32,1442012,14565,53714
8281,7CBBqjNG4lgQa1E8gTHYwS,Khắc Cốt Ghi Tâm,['Karik'],2024-07-11,179254,1,51,23,183145,2161,7990
8282,5362i5VyrHg1Keyyhudf0z,Bằng Lòng,['Karik'],2024-07-11,211183,1,54,25,210600,3327,11718
8283,2XosUiGief4T3fKZQmlRfV,Lẽ Đương Nhiên,['Karik'],2024-07-11,221370,1,30,18,99463,1019,3627
8284,2ZUVnqmn2BaTAUJ49nnIJd,Không Quan Tâm,['Karik'],2024-07-11,202915,0,22,0,77078,710,2730
8285,2I68wBJUoxe1GSOsbQ1u9Y,Mời Người Kế Tiếp,['Karik'],2024-07-11,192053,4,167,21,691889,2638,11300
8286,7o3D8pLFnT4QEn8AegUJDU,Có Chơi Có Chịu,['Karik'],2024-07-11,223857,47,1498,34,6239085,13404,52243
8287,1JKT4xsoglbi9esS1jSm2h,KÍU,['Karik'],2024-07-11,209294,3,86,27,327950,5140,18314
8288,7ofrvzG4VenDKV4MQrt8b4,Thao Túng Tâm Trí,['Karik'],2024-07-11,201741,1,29,18,105236,807,3332
8289,5zWW66pRt3v9rnJDslY9SK,Từ Đó Về Sau,['Karik'],2024-07-11,239075,0,45,20,110755,1530,5598
8290,0fGJiHH6xSUJU1MAVjxq5m,Bạn Đời,['Karik'],2024-07-11,306477,125,4399,55,29339188,325583,1213925
8305,0sMc56aynx4DJwJtElVOSf,Thương,['Karik'],2022-07-04,185727,0,77,0,314708,1386,5379
8306,4hlQpXyyLqOWDhwT4FlWGS,Cạn Cả Nước Mắt,['Karik'],2022-07-04,218708,3,323,33,1454935,14283,52208
8307,4mAgLCrwXzoa8hEH9QbgqF,Từng Là Tất Cả,['Karik'],2022-07-04,260160,4,310,32,1468304,12029,51232
8308,6iUP7jdxZ8Btqr9IfCydt9,Khóc Một Mình,['Karik'],2022-07-04,231096,0,169,33,1245001,11329,57606
8309,0LSBedXElKa7envDJW7ff2,Ai Ngờ Ta Còn Thương,['Karik'],2022-07-04,312261,0,50,19,178937,1360,5378
8310,5BdNtfI1O8gqnFvyE7sYGM,Lần Cuối,['Karik'],2022-07-04,164258,4,593,27,2368984,10345,28446
8311,7z1qDBkwQ7XQlk93ZwzJlT,Chưa Từng Vì Nhau,['Karik'],2022-07-04,247058,3,488,32,1850115,13418,49669
8333,7ffahkgql6s0J2N1u6AGww,Rain,['Karik'],2011-11-30,211905,0,3,2,15365,521,898
8334,3sCV84HpEU7Xb9E0sFp8CS,Alone K's Past,['Karik'],2011-11-30,194847,0,4,2,19408,429,813
8335,7azEn0G0JG1MGnZMmo9dNF,Không Thể,['Karik'],2011-11-30,187297,0,6,0,33538,2061,2938
8336,0BowPFXwGmQmbbVaGVkrWX,Tiền,['Karik'],2011-11-30,193854,0,3,0,21429,2596,4248
8337,3tHBHOxpbN8g5TZXogU7h2,Flow Of Living,['Karik'],2011-11-30,237609,0,7,4,27578,158,1188
8338,1O7hfjL4jBQxvAhoH8H5tL,Quên Em,['Karik'],2011-11-30,194899,0,14,12,56931,524,2730
8339,6sDSILthd8HApRdb8IK4uF,Mike - Remix,['Karik'],2011-11-30,191294,0,5,3,16492,282,776
8340,017gD8wN5xQPLZakeHNefi,Underground's Top,['Karik'],2011-11-30,248293,0,5,2,14917,104,579
8341,2PcCqWhD6LEElNAx0laJ77,Hát Cho Người Ở Lại,['Mỹ Tâm'],2025-01-06,291533,3,0,10,4225,7052,20396
8342,6p0XABoT3i5ITLTg7u4eLn,Tình Em Ngọn Nến,['Mỹ Tâm'],2025-01-06,200619,76,0,7,1868,62763,224279
8343,1jAZKDLHdpDjrDUDeFTPNO,Tình Xót Xa Thôi,['Mỹ Tâm'],2025-01-06,348028,1,0,10,3053,8872,32747
8344,6PlDTCFPIVjcfJSSc6V70C,Yêu Dại Khờ,['Mỹ Tâm'],2025-01-06,283575,7,0,7,1528,15077,45262
8345,00UkI924vgZqFd89DXkRc7,Ô Cửa Sổ,['Mỹ Tâm'],2025-01-06,265181,0,1,6,1151,464,1210
8351,1fbYl7XIFxbhgLryM7Oo86,Con Gái Như Em,['Mỹ Tâm'],2019-06-03,180000,2,67,11,644412,607,1260
8352,0YZsPEsMT0ebCZwop5eamb,Cafe Sữa,['Mỹ Tâm'],2019-06-03,210345,0,4,6,123148,405,315
8353,1EIyP0uzWbrrFk2tgW0vV2,Rất Vui Được Gặp Nhau,['Mỹ Tâm'],2019-06-03,248108,2,59,19,722464,1086,3854
8354,4KY5P1uPYoVocAb9TSDEJC,Chúc Ngủ Ngon,['Mỹ Tâm'],2019-06-03,97574,0,4,5,149364,482,280
8355,3yJiM3aYPaCaomIjKbuuDr,Sao Cũng Được,['Mỹ Tâm'],2019-06-03,194000,2,110,22,858784,2594,8162
8356,5zdA89zvoEVyaUayd8EYGB,Đời Là Giấc Mơ,['Mỹ Tâm'],2019-06-03,143574,0,23,11,388506,363,1040
8357,2zJ33e9aNLhwcsmqC65BJe,Nơi Mình Dừng Chân,['Mỹ Tâm'],2019-06-03,227195,2,108,23,830524,2864,7140
8358,4awSuSjyloOc06OyytIgJ7,Đâu Chỉ Riêng Em,['Mỹ Tâm'],2019-06-03,251578,2,133,27,842931,5588,14550
8372,7hwtE4fZSgi8ljE8PfgEfu,Anh Vẫn Chờ Em,['Mỹ Tâm'],2018-09-11,346320,0,6,8,52125,348,915
